Composition,Citation,Phase,Density,HV,TestType,YieldStrength,UltimateStrength,Elongation,YoungsModulus
Mo0.3NbTiVZr,74,BCC,6.7,NaN,C,1289,NaN,42,NaN
Mo0.5NbTiVZr,74,BCC,6.8,NaN,C,1473,NaN,32,NaN
Mo0.7NbTiVZr,74,BCC,7,NaN,C,1706,NaN,32,NaN
MoNbTiVZr,74,BCC,7.1,NaN,C,1779,NaN,32,NaN
Mo1.3NbTiVZr,74,BCC,7.3,NaN,C,1496,NaN,30,NaN
Mo1.5NbTiVZr,74,BCC,7.4,NaN,C,1603,NaN,20,NaN
Mo1.7NbTiVZr,74,BCC,7.5,NaN,C,1645,NaN,15,NaN
Mo2NbTiVZr,74,BCC,7.6,NaN,C,1765,NaN,12,NaN
MoNbTiV0.25Zr,75,BCC,7.3,NaN,C,1776,3893,30,153
MoNbTiV0.50Zr,75,BCC,7.2,NaN,C,1647,3307,28,152
MoNbTiV0.75Zr,75,BCC,7.2,NaN,C,1708,3929,29,150
MoNbTiV1.0Zr,75,BCC,7.1,NaN,C,1786,3828,26,149
MoNbTiV1.5Zr,75,BCC,7.1,NaN,C,1735,3300,20,147
MoNbTiV2.0Zr,75,BCC,7,NaN,C,1538,3176,23,146
MoNbTiV3.0Zr,75,BCC,6.9,NaN,C,1418,2508,24,143
MoNbTiZr,75,BCC,7.3,NaN,C,1592,3450,34,155
NbTaTiV,55,BCC,9.2,NaN,C,1092,NaN,NaN,106
NbTaVW,76,BCC,12.9,492,C,1530,NaN,12,208
NbTaTiVW,76,BCC+HCP,11.1,447,C,1420,NaN,20,NaN
NbTiV0.3Zr,74,BCC,6.5,NaN,C,866,NaN,45,NaN
NbTiV0.3Mo0.1,74,BCC,6.6,NaN,C,932,NaN,45,NaN
NbTiV0.3Mo0.3,74,BCC,6.8,NaN,C,1312,NaN,50,NaN
NbTiV0.3Mo0.5,74,BCC,6.9,NaN,C,1301,NaN,43,NaN
NbTiV0.3Mo0.7,74,BCC,7.1,NaN,C,1436,NaN,27,NaN
NbTiV0.3Mo,74,BCC,7.3,NaN,C,1455,NaN,25,NaN
NbTiV0.3Mo1.3,74,BCC,7.4,NaN,C,1603,NaN,20,NaN
NbTiV0.3Mo1.5,74,BCC,7.5,NaN,C,1576,NaN,8,NaN
NbTiVZr,74,BCC,6.5,NaN,C,1104,NaN,50,NaN
NbTiVZr,59,BCC,6.5,335,C,1105,NaN,> 50,104
NbTiV2Zr,59,BCC,6.4,304,C,918,NaN,> 50,109
CoCrCuFeNiTiVZr,27,NaN,7.1,680,NaN,NaN,NaN,NaN,168
CoCrFeMoNiTiVZr,27,NaN,7.3,850,NaN,NaN,NaN,NaN,193
CoCuFeNiTiVZr,27,NaN,7.1,630,NaN,NaN,NaN,NaN,NaN
CoFeNiV,77,FCC,7.8,238,NaN,NaN,NaN,NaN,187
CoFeMo0.2NiV,77,FCC + Im,8,267,NaN,NaN,NaN,NaN,NaN
CoFeMo0.4NiV,77,FCC + Im,8.1,402,NaN,NaN,NaN,NaN,NaN
CoFeMo0.6NiV,77,FCC + Im,8.2,557,NaN,NaN,NaN,NaN,NaN
CoFeMo0.8NiV,77,FCC + Im,8.3,606,NaN,NaN,NaN,NaN,NaN
CoFeMoNiV,77,FCC + Im,8.4,625,NaN,NaN,NaN,NaN,NaN
CoFeMoNi1.2V,77,FCC + Im,8.4,602,NaN,NaN,NaN,NaN,NaN
CoFeMoNi1.4V,77,FCC + Im,8.5,538,NaN,NaN,NaN,NaN,NaN
CoFeMoNi1.6V,77,FCC + Im,8.5,520,NaN,NaN,NaN,NaN,NaN
CoFeMoNi1.8V,77,FCC + Im,8.5,510,NaN,NaN,NaN,NaN,NaN
CoFeMoNi2V,77,FCC + Im,8.5,382,NaN,NaN,NaN,NaN,NaN
CoFeMoNiTiVZr,27,NaN,7.3,790,NaN,NaN,NaN,NaN,NaN
CuFeNiTiVZr,27,NaN,6.8,590,NaN,NaN,NaN,NaN,142
CoCrCuFeMnNiTiV,78,FCC + BCC + Im,7.3,NaN,C,1312,1312,< 1,74
Al11.1(CoCrCuFeMnNiTiV)88.9,78,FCC + BCC,6.7,NaN,C,1862,2431,< 1,164
Al20(CoCrCuFeMnNiTiV)80,78,BCC,6.1,NaN,C,1465,2016,2,190
Al40(CoCrCuFeMnNiTiV)60,78,BCC + Im,5.1,NaN,C,1461,1461,< 1,163
AlFeNiTiVZr,27,BCC,5.9,800,NaN,NaN,NaN,NaN,132
(CuMnNi)75Zn25,79,FCC,8.3,147,C,215,NaN,>60,169
(CuMnNi)80Zn20,79,FCC,8.3,109,C,140,NaN,>65,171
(CuMnNi)90Al10,79,FCC + Im,8.1,241,C,515,NaN,40,NaN
(CuMnNi)90Sn10,79,FCC + Im,8.3,318,C,630,NaN,20,NaN
(CuMnNi)95Al5,79,FCC,8.3,166,C,330,NaN,>45,174
(CuMnNi)95Sn5,79,FCC + Im,8.4,205,C,380,NaN,>63,NaN
Ti0.25NbMoTaW,NaN,BCC,NaN,478.3,C,1109,1197,2.5,NaN
Ti0.5NbMoTaW,NaN,BCC,NaN,481.2,C,1211,1579,5.9,NaN
Ti0.75NbMoTaW,NaN,BCC,NaN,495.6,C,1305,1593,8.4,NaN
TiNbMoTaW,NaN,BCC,NaN,507.5,C,1455,1910,11.5,NaN
AlCrFeNiMo0.5,NaN,BCC + Im,NaN,623.7,C,1914.1,4023.6,27.9,NaN
AlCrFeNiMo0.5Ti0.25,NaN,BCC + Im,NaN,712,C,2161.7,3641.5,14.3,NaN
AlCrFeNiMo0.5Ti0.4,NaN,BCC + Im,NaN,731.9,C,2185.1,3673.4,14.8,NaN
AlCrFeNiMo0.5Ti0.5,NaN,BCC + Im,NaN,751.7,C,2228.7,3166.2,10.4,NaN
AlCrFeNiMo0.5Ti0.6,NaN,BCC + Im,NaN,756.1,C,1314.5,1314.5,NaN,NaN
AlCrFeNiMo0.5Ti0.75,NaN,BCC + Im,NaN,766.2,C,618.8,618.8,NaN,NaN
